PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
174623.012A,2016,2016-032,Value in dispute,1/19/17,5/17/17,Decrease Value,-161500,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,474000,Board of Revision,2016,13500,175000,
174623.013.,2016,2016-032,Value in dispute,1/19/17,5/17/17,Decrease Value,27600,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,474000,Board of Revision,2016,202600,175000,
282815.179.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.180.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.181.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.182.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.183.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.184.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.185.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.186.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.187.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.224.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.225.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.226.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.227.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.228.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,13761,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,47500,33739,
282815.229.,2016,2016-033,Value in dispute,1/20/17,5/17/17,Decrease Value,-31939,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,1800,33739,
282815.230.,2016,2016-033,Value in dispute,1/20/17,7/18/17,Decrease Value,-30539,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,3200,33739,
282815.231.,2016,2016-033,Value in dispute,1/20/17,7/18/17,Decrease Value,-30539,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,3200,33739,
282815.232.,2016,2016-033,Value in dispute,1/20/17,7/18/17,Decrease Value,-30539,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1803000,Board of Revision,2016,3200,33739,
416501.109.,2016,2016-034,Value in dispute,1/23/17,5/17/17,Decrease Value,9700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1633000,Board of Revision,2016,70700,61000,
443307F015.,2016,2016-035,Value in dispute,1/23/17,5/17/17,Decrease Value,35500,,,RP,R,44,,WASHINGTON TWP / NEW RICHMOND EVSD,WASHINGTON TWP , NEW RICHMOND EVSD,2617000,Board of Revision,2016,63500,28000,
265721.008.,2016,2016-036,Value in dispute,1/23/17,5/25/17,Decrease Value,13400,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,2307000,Board of Revision,2016,60400,47000,
172517D120.,2016,2016-037,Value in dispute,1/23/17,5/25/17,Decrease Value,8468,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,449000,Board of Revision,2016,55000,46532,
172517D159.,2016,2016-037,Value in dispute,1/23/17,5/25/17,Decrease Value,88432,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,449000,Board of Revision,2016,574400,485968,
302904D004.,2016,2016-038,Value in dispute,1/23/17,6/22/17,No Change in Value,-141815,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4242000,Board of Revision,2016,389410,531225,
142305A112.,2016,2016-039,Value in dispute,1/23/17,5/24/17,Reinstate CAUV,195800,,,RP,A,14,,JACKSON TWP / CLERMONT NE LSD,JACKSON TWP , CLERMONT NE LSD,A3807000,Board of Revision,2016,195800,,
302905F091.,2016,2016-039,Value in dispute,1/23/17,5/24/17,Reinstate CAUV,139400,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4235000,Board of Revision,2016,139400,,
210710B105.,2016,2016-040,Value in dispute,1/23/17,6/29/17,Decrease Value,17600,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,25200,7600,
210710B107.,2016,2016-040,Value in dispute,1/23/17,6/29/17,Decrease Value,95900,,,RP,I,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,137700,41800,
210710B110.,2016,2016-040,Value in dispute,1/23/17,6/29/17,Decrease Value,16800,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,16800,,
210710B111.,2016,2016-040,Value in dispute,1/23/17,6/29/17,Decrease Value,11800,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,16800,5000,
172521D126.,2016,2016-041,Value in dispute,1/24/17,5/25/17,Decrease Value,67000,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,437000,Board of Revision,2016,417600,350600,
222610E037.,2016,2016-042,Value in dispute,1/23/17,5/17/17,Decrease Value,27600,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,2508000,Board of Revision,2016,96600,69000,
413217G162.,2016,2016-043,Value in dispute,1/24/17,5/17/17,Decrease Value,35700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1609000,Board of Revision,2016,80600,44900,
222610E004.,2016,2016-044,Value in dispute,1/27/17,5/24/17,Reinstate CAUV,98100,,,RP,A,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,A2508000,Board of Revision,2016,98100,,
433308G053.,2016,2016-045,Value in dispute,1/27/17,5/24/17,Reinstate CAUV,25400,,,RP,R,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,2609000,Board of Revision,2016,25400,,
302915H027.,2016,2016-046,Value in dispute,1/26/17,5/24/17,Reinstate CAUV,243600,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4225000,Board of Revision,2016,243600,,
302915H032.,2016,2016-046,Value in dispute,1/26/17,5/24/17,Reinstate CAUV,217000,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4225000,Board of Revision,2016,217000,,
323006D052.,2016,2016-047,Value in dispute,1/27/17,5/17/17,Decrease Value,42401,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3015000,Board of Revision,2016,157100,114699,
324708.013A,2016,2016-047,Value in dispute,1/27/17,5/17/17,Decrease Value,605,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3016000,Board of Revision,2016,2200,1595,
393110D068.,2016,2016-048,Value in dispute,1/27/17,6/22/17,Decrease Value,105900,,,RP,R,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1332000,Board of Revision,2016,179900,74000,
413105G212.,2016,2016-049,Value in dispute,1/27/17,5/17/17,Decrease Value,39200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1318000,Board of Revision,2016,121400,82200,
272814B231.,2016,2016-050,Value in dispute,1/26/17,5/25/17,Decrease Value,7000,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1823000,Board of Revision,2016,52000,45000,
413112C210.,2016,2016-051,Value in dispute,1/26/17,6/22/17,Decrease Value,68200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1665000,Board of Revision,2016,111200,43000,
290114.384.,2016,2016-052,Value in dispute,1/25/17,5/25/17,Decrease Value,30600,,,RP,R,29,,PIERCE TWP/AMELIA VILL/W CLER LSD,AMELIA VILL,W CLER LSD,2003000,Board of Revision,2016,124600,94000,
222607F042.,2016,2016-053,Value in dispute,1/25/17,6/15/17,Decrease Value,75500,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,2516000,Board of Revision,2016,165500,90000,
360311.177F,2016,2016-054,Value in dispute,1/25/17,6/15/17,Decrease Value,1400,,,RP,C,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,C3203000,Board of Revision,2016,1400,,
360311.178D,2016,2016-054,Value in dispute,1/25/17,6/15/17,Decrease Value,7700,,,RP,C,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,C3203000,Board of Revision,2016,72600,64900,
413214B022.,2016,2016-055,Value in dispute,1/25/17,7/18/17,Decrease Value,90500,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1527000,Board of Revision,2016,223500,133000,
082115A006P,2016,2016-056,Value in dispute,1/25/17,7/18/17,Decrease Value,26100,,,RP,R,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,2804000,Board of Revision,2016,67100,41000,
242709B034.,2016,2016-057,Value in dispute,2/3/17,5/24/17,Reinstate CAUV,1028600,,,RP,A,24,,OHIO TWP / NEW RICHMOND EVSD,OHIO TWP , NEW RICHMOND EVSD,A2207000,Board of Revision,2016,1028600,,
242709C107.,2016,2016-057,Value in dispute,2/3/17,5/24/17,Reinstate CAUV,91300,,,RP,A,24,,OHIO TWP / NEW RICHMOND EVSD,OHIO TWP , NEW RICHMOND EVSD,A2226000,Board of Revision,2016,91300,,
112209I022.,2016,2016-058,Value in dispute,2/3/17,6/15/17,Decrease Value,28300,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4162000,Board of Revision,2016,56300,28000,
112209I023.,2016,2016-058,Value in dispute,2/3/17,6/15/17,Decrease Value,28300,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4162000,Board of Revision,2016,56300,28000,
260922.066.,2016,2016-059,Value in dispute,2/2/17,7/18/17,Decrease Value,235200,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2404000,Board of Revision,2016,286200,51000,
182515D054.,2016,2016-060,Value in dispute,2/2/17,6/15/17,Decrease Value,67800,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,314000,Board of Revision,2016,272300,204500,
272812G048.,2016,2016-061,Value in dispute,2/2/17,6/26/17,WITHDRAWAL,-4840,,,RP,A,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,A1919000,Board of Revision,2016,85160,90000,
272812G081.,2016,2016-061,Value in dispute,2/2/17,6/26/17,WITHDRAWAL,77000,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1919000,Board of Revision,2016,89500,12500,
272812G108.,2016,2016-061,Value in dispute,2/2/17,6/26/17,WITHDRAWAL,6500,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1919000,Board of Revision,2016,10500,4000,
393110B152.,2016,2016-062,Value in dispute,2/2/17,7/27/17,Settlement Accepted,89300,,,RP,R,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1306000,Board of Revision,2016,264300,175000,
414245A019.,2016,2016-063,Value in dispute,2/2/17,5/25/17,Decrease Value,19700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1514000,Board of Revision,2016,89700,70000,
116611.021A,2016,2016-064,Value in dispute,1/31/17,7/18/17,No Change in Value,-141200,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4185000,Board of Revision,2016,3800,145000,
116611.21AT,2016,2016-064,Value in dispute,1/31/17,7/18/17,Decrease Value,56800,,,RP,E,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4185000,Board of Revision,2016,201800,145000,
184036.037.,2016,2016-065,Value in dispute,1/30/17,5/25/17,Decrease Value,48900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,215000,Board of Revision,2016,112900,64000,
184606.017.,2016,2016-066,Value in dispute,1/30/17,7/27/17,WITHDRAWAL,20500,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,317000,Board of Revision,2016,199900,179400,
323012K060.,2016,2016-067,Value in dispute,1/30/17,7/18/17,Decrease Value,50000,,,RP,R,32,BETHEL,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2016,281000,231000,
323017C016.,2016,2016-068,Value in dispute,2/1/17,6/15/17,Decrease Value,106800,,,RP,C,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,C3019000,Board of Revision,2016,281800,175000,
060208.084B,2016,2016-069,Value in dispute,2/1/17,6/15/17,Decrease Value,22300,,,RP,C,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,C4605000,Board of Revision,2016,82300,60000,
414802.084.,2016,2016-070,Value in dispute,1/31/17,6/29/17,Decrease Value,124100,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1412000,Board of Revision,2016,234100,110000,
413104E518.,2016,2016-071,Value in dispute,1/30/17,5/25/17,Decrease Value,43900,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1421000,Board of Revision,2016,160000,116100,
185406B035.,2016,2016-072,Value in dispute,1/30/17,6/15/17,Decrease Value,74400,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,260000,Board of Revision,2016,179400,105000,
323012C126.,2016,2016-073,Value in dispute,2/3/17,6/22/17,Decrease Value,74800,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3019000,Board of Revision,2016,163400,88600,
323012E078.,2016,2016-074,Value in dispute,2/6/17,5/25/17,Decrease Value,4700,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2016,21700,17000,
323012E090.,2016,2016-074,Value in dispute,2/6/17,5/25/17,Decrease Value,6900,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2016,31900,25000,
323012E091.,2016,2016-074,Value in dispute,2/6/17,5/25/17,Increase Value,3200,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2016,153200,150000,
524409.022.,2016,2016-075,Value in dispute,2/6/17,7/18/17,No Change in Value,4500,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3415000,Board of Revision,2016,5000,500,
524409.025.,2016,2016-075,Value in dispute,2/6/17,7/18/17,Decrease Value,16000,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3415000,Board of Revision,2016,29000,13000,
210709.001.,2016,2016-076,Value in dispute,2/6/17,6/22/17,Decrease Value,136500,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,527000,390500,
210709.001T,2016,2016-076,Value in dispute,2/6/17,6/22/17,Decrease Value,-358100,,,RP,E,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1116000,Board of Revision,2016,32400,390500,
182402C197.,2016,2016-077,Value in dispute,2/6/17,8/31/17,No Change in Value,-176500,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,140000,Board of Revision,2016,1000,177500,
182402C197T,2016,2016-077,Value in dispute,2/6/17,8/31/17,Decrease Value,18100,,,RP,E,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,140000,Board of Revision,2016,195600,177500,
323011A079.,2016,2016-078,Value in dispute,2/3/17,5/24/17,Reinstate CAUV,37300,,,RP,A,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,A3014000,Board of Revision,2016,37300,,
414141.044A,2016,2016-079,Value in dispute,2/6/17,5/25/17,Decrease Value,5500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1409000,Board of Revision,2016,14000,8500,
414141.044B,2016,2016-079,Value in dispute,2/6/17,5/25/17,Decrease Value,5500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1409000,Board of Revision,2016,14000,8500,
172520E407.,2016,2016-080,Value in dispute,2/6/17,5/25/17,Decrease Value,16300,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,406000,Board of Revision,2016,224300,208000,
290108.001.,2016,2016-081,Value in dispute,2/8/17,6/29/17,No Change in Value,5100,,,RP,R,29,,PIERCE TWP/AMELIA VILL/W CLER LSD,AMELIA VILL,W CLER LSD,2109000,Board of Revision,2016,43100,38000,
290108.002.,2016,2016-081,Value in dispute,2/8/17,6/29/17,No Change in Value,231660,,,RP,C,29,,PIERCE TWP/AMELIA VILL/W CLER LSD,AMELIA VILL,W CLER LSD,C2109000,Board of Revision,2016,401660,170000,
022012C061.,2016,2016-082,Value in dispute,2/8/17,5/24/17,Reinstate CAUV,171600,,,RP,A,2,,BATAVIA TWP / CLERMONT NE LSD,BATAVIA TWP , CLERMONT NE LSD,A4481000,Board of Revision,2016,171600,,
012008F071.,2016,2016-083,Value in dispute,2/8/17,5/24/17,WITHDRAWAL,-257800,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4513000,Board of Revision,2016,2200,260000,
012008F071T,2016,2016-083,Value in dispute,2/8/17,5/24/17,WITHDRAWAL,21500,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4513000,Board of Revision,2016,281500,260000,
323009C061.,2016,2016-084,Value in dispute,2/8/17,5/25/17,Decrease Value,48073,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3015000,Board of Revision,2016,108200,60127,
416501K181.,2016,2016-085,Value in dispute,2/8/17,5/25/17,Decrease Value,13300,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1633000,Board of Revision,2016,68300,55000,
417001.215.,2016,2016-086,Value in dispute,2/3/17,5/25/17,Decrease Value,27700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1323000,Board of Revision,2016,70700,43000,
493410G101.,2016,2016-087,Value in dispute,2/8/17,5/25/17,Decrease Value,5170,,,RP,A,49,,WAYNE TWP / CLERMONT NE LSD,WAYNE TWP , CLERMONT NE LSD,A3921000,Board of Revision,2016,31170,26000,
323017A116.,2016,2016-088,Value in dispute,2/8/17,6/22/17,Decrease Value,48800,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3019000,Board of Revision,2016,148800,100000,
032022B456.,2016,2016-089,Value in dispute,2/9/17,5/25/17,Decrease Value,45700,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4456000,Board of Revision,2016,85700,40000,
523515F111.,2016,2016-090,Value in dispute,2/10/17,5/25/17,Decrease Value,33800,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3430000,Board of Revision,2016,93800,60000,
302902G037.,2016,2016-091,Value in dispute,2/10/17,5/24/17,Reinstate CAUV,444500,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4206000,Board of Revision,2016,444500,,
302902G067.,2016,2016-091,Value in dispute,2/10/17,5/24/17,Reinstate CAUV,20200,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4206000,Board of Revision,2016,20200,,
413215F117.,2016,2016-092,Value in dispute,2/10/17,8/31/17,No Change in Value,989500,,,RP,I,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1652000,Board of Revision,2016,1829500,840000,
200610B043P,2016,2016-093,Value in dispute,2/13/17,6/15/17,Decrease Value,72500,,,RP,R,20,LOVELAND,LOVELAND CITY / LOVELAND CITY SD,LOVELAND CITY , LOVELAND CITY SD,511000,Board of Revision,2016,82500,10000,
182515D055.,2016,2016-094,Value in dispute,2/13/17,5/25/17,Decrease Value,38800,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,314000,Board of Revision,2016,283800,245000,
360327.031.,2016,2016-095,Value in dispute,2/13/17,8/31/17,WITHDRAWAL,12900,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3103000,Board of Revision,2016,87900,75000,
323010F114.,2016,2016-096,Value in dispute,2/13/17,5/25/17,Decrease Value,25700,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2016,62400,36700,
034508.012B,2016,2016-097,Value in dispute,2/16/17,5/25/17,Decrease Value,45700,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4456000,Board of Revision,2016,59700,14000,
414143.016.,2016,2016-098,Value in dispute,2/13/17,5/25/17,Decrease Value,23700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1508000,Board of Revision,2016,113700,90000,
014510B059.,2016,2016-099,Value in dispute,2/10/17,5/25/17,Decrease Value,36100,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4453000,Board of Revision,2016,71100,35000,
433309C039.,2016,2016-100,Value in dispute,2/13/17,5/30/17,Decrease Value,10500,,,RP,R,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,2610000,Board of Revision,2016,22500,12000,
433310A019.,2016,2016-100,Value in dispute,2/13/17,5/30/17,Decrease Value,8000,,,RP,R,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,2610000,Board of Revision,2016,11500,3500,
184022D085A,2016,2016-101,Value in dispute,2/14/17,6/15/17,Decrease Value,44500,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0468000,Board of Revision,2016,519500,475000,
473405A010.,2016,2016-102,Value in dispute,2/15/17,5/24/17,Reinstate CAUV,174800,,,RP,A,47,,WAYNE TWP / BLANCHESTER LSD,WAYNE TWP , BLANCHESTER LSD,A3905000,Board of Revision,2016,174800,,
112204F005.,2016,2016-103,Value in dispute,2/15/17,5/24/17,Reinstate CAUV,172800,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4141000,Board of Revision,2016,172800,,
302912H173.,2016,2016-104,Value in dispute,2/17/17,6/15/17,Decrease Value,59700,,,RP,R,30,BATAVIA,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,4226000,Board of Revision,2016,209700,150000,
